,sim_num,method,lambda,snr_n,snr_s,Distance,R2_X1,R2_X2,R2_Y
0,0,DeESI_raw,0.75,20,20,0.0,0.8855623197416043,0.40065028955092274,0.4607611967446139
1,0,DeESI_debias,0.75,20,20,0.0,0.9750354137011864,0.9657425949136024,0.692958469618569
2,0,DeESI_std,0.75,20,20,0.0,,,
3,0,DeESI_rawselected_debias,0.75,20,20,0.0,0.9750354137011864,0.9657425949136023,0.692958469618569
4,0,DeESI_raw,0.5,20,20,0.0,0.9627443096469699,0.8298429441769279,0.6403666720443404
5,0,DeESI_debias,0.5,20,20,0.0,0.9687348068425217,0.9643580363296557,0.6890749695269438
6,0,DeESI_std,0.5,20,20,0.0,,,
7,0,DeESI_rawselected_debias,0.5,20,20,0.0,0.9687348068425218,0.9643580363296559,0.6890749695269438
8,0,DeESI_raw,0.4,20,20,0.0,0.9743241921123622,0.8905171442225019,0.6668895277357332
9,0,DeESI_debias,0.4,20,20,0.0,0.9622780272884689,0.9572253582490587,0.6855506437442762
10,0,DeESI_std,0.4,20,20,0.0,,,
11,0,DeESI_rawselected_debias,0.4,20,20,0.0,0.9622780272884695,0.9572253582490591,0.6855506437442765
12,0,DeESI_raw,0.3,20,20,0.0,0.9819546152208246,0.9284661567199297,0.6840630177643288
13,0,DeESI_debias,0.3,20,20,0.0,0.9710070839652153,0.9450701700538999,0.5966763948738913
14,0,DeESI_std,0.3,20,20,0.0,,,
15,0,DeESI_rawselected_debias,0.3,20,20,0.0,0.9529667809471598,0.9487406579125665,0.6802399473311274
16,0,DeESI_raw,0.2,20,20,0.0,0.9862450883988446,0.9550083271556551,0.7022826346997875
17,0,DeESI_debias,0.2,20,20,93.65178153259288,-212.1012543867403,-19.631901593478595,0.7325698869042563
18,0,DeESI_std,0.2,20,20,0.0,,,
19,0,DeESI_rawselected_debias,0.2,20,20,0.0,0.9411000424259544,0.9355827119714544,0.6715696299868292
20,0,DeESI_raw,0.1,20,20,0.0,0.988369077772594,0.9699308054407627,0.7883689142639373
21,0,DeESI_debias,0.1,20,20,0.0,0.988369077772594,0.9699308054407627,0.7883689142639374
22,0,DeESI_std,0.1,20,20,0.0,,,
23,0,DeESI_rawselected_debias,0.1,20,20,0.0,0.872351256713342,0.9080841321460869,0.6265616016502008
24,0,DeESI_raw,0.05,20,20,0.0,0.9870779736600047,0.9698898436415005,0.8521045566099408
25,0,DeESI_debias,0.05,20,20,0.0,0.9870779736600047,0.9698898436415007,0.8521045566099408
26,0,DeESI_std,0.05,20,20,0.0,,,
27,0,DeESI_rawselected_debias,0.05,20,20,0.0,0.8911200683866882,0.8435535131930874,0.6088279138474036
28,0,DeESI_raw,0.5,10,20,0.0,0.8233108524820913,0.3739432457521966,0.4153386317822827
29,0,DeESI_debias,0.5,10,20,0.0,0.8867246480056221,0.7877448764698585,0.6096351363442758
30,0,DeESI_std,0.5,10,20,0.0,,,
31,0,DeESI_rawselected_debias,0.5,10,20,0.0,0.8867246480056203,0.7877448764698589,0.6096351363442754
32,0,DeESI_raw,0.4,10,20,0.0,0.8832982403129133,0.6066631594530714,0.5204351037559534
33,0,DeESI_debias,0.4,10,20,0.0,0.8659592479973703,0.7744737999326099,0.6007436229946432
34,0,DeESI_std,0.4,10,20,0.0,,,
35,0,DeESI_rawselected_debias,0.4,10,20,0.0,0.8659592479973703,0.7744737999326081,0.6007436229946419
36,0,DeESI_raw,0.3,10,20,0.0,0.9187799551989856,0.735082378671013,0.5852818560416689
37,0,DeESI_debias,0.3,10,20,62.487986697639286,-3.562837430215014,0.8034019391766241,0.006630087039860344
38,0,DeESI_std,0.3,10,20,0.0,,,
39,0,DeESI_rawselected_debias,0.3,10,20,0.0,0.8309235214917219,0.7496931658346713,0.57997827002894
40,0,DeESI_raw,0.2,10,20,0.0,0.9334310150354109,0.8171932380218198,0.6646894308660298
41,0,DeESI_debias,0.2,10,20,93.34530950723122,-501.68606134213354,-1.5625993846026538,0.5217482532373976
42,0,DeESI_std,0.2,10,20,0.0,,,
43,0,DeESI_rawselected_debias,0.2,10,20,0.0,0.7879247016683607,0.7200868334883541,0.5526286249039492
44,0,DeESI_raw,0.1,10,20,0.0,0.9340474742524308,0.8624593784737766,0.7285462314343536
45,0,DeESI_debias,0.1,10,20,0.0,0.9340474742524306,0.8624593784737764,0.7285462314343535
46,0,DeESI_std,0.1,10,20,0.0,,,
47,0,DeESI_rawselected_debias,0.1,10,20,0.0,0.6733115384979645,0.5060727152181848,0.46663742887914805
48,0,DeESI_raw,0.05,10,20,0.0,0.906780106534774,0.845073263482194,0.7824679900358769
49,0,DeESI_debias,0.05,10,20,0.0,0.9067801065347738,0.8450732634821938,0.7824679900358769
50,0,DeESI_std,0.05,10,20,0.0,,,
51,0,DeESI_rawselected_debias,0.05,10,20,0.0,-0.03724643686067397,0.05207876401671807,0.11021236705763382
52,0,DeESI_raw,0.4,0,20,53.61637165770013,0.2799976147779887,0.00784279975964941,0.09081644278308176
53,0,DeESI_debias,0.4,0,20,53.61637165770013,-22.079459234576596,-24.20963585408414,-0.08713956953092783
54,0,DeESI_std,0.4,0,20,53.61637165770013,,,
55,0,DeESI_rawselected_debias,0.4,0,20,53.61637165770013,-22.07945923457646,-24.209635854083963,-0.08713956953092894
56,0,DeESI_raw,0.3,0,20,0.0,0.4944695401156014,0.33749951828820945,0.2478332800342179
57,0,DeESI_debias,0.3,0,20,0.0,-16.871719612002398,-0.04397509516845877,-0.1672363393313705
58,0,DeESI_std,0.3,0,20,42.68524278664044,,,
59,0,DeESI_rawselected_debias,0.3,0,20,0.0,-0.38974745181946835,-0.2884089349861574,0.007453237927957268
60,0,DeESI_raw,0.2,0,20,4.6793514667083,0.5151097986558277,0.4461285460173623,0.38321322212725284
61,0,DeESI_debias,0.2,0,20,91.11381185281564,-271.45134201978783,-10.08289779853825,-0.37242068965244624
62,0,DeESI_std,0.2,0,20,46.11907467461518,,,
63,0,DeESI_rawselected_debias,0.2,0,20,4.6793514667083,-1.9263930844000718,-0.5736960916156038,-0.70671280751555
64,0,DeESI_raw,0.1,0,20,4.6793514667083,0.5857232124453311,0.4969419517591819,0.4423553217764107
65,0,DeESI_debias,0.1,0,20,4.6793514667083,0.5857232124453313,0.496941951759182,0.44235532177641046
66,0,DeESI_std,0.1,0,20,4.6793514667083,,,
67,0,DeESI_rawselected_debias,0.1,0,20,4.6793514667083,-2.7767637331086688,-1.2481965572646296,-1.2282206196207905
68,0,DeESI_raw,0.05,0,20,43.66442667774085,0.5274650531367362,-0.14384044960680864,0.4861899704906273
69,0,DeESI_debias,0.05,0,20,43.66442667774085,0.5274650531367364,-0.14384044960680886,0.4861899704906273
70,0,DeESI_std,0.05,0,20,43.66442667774085,,,
71,0,DeESI_rawselected_debias,0.05,0,20,43.66442667774085,-19.88196633373732,-3.2975579617532844,-3.799273897406618
72,0,DeESI_raw,0.5,20,10,0.0,0.7838579286168651,0.639537328867062,0.5103663592080452
73,0,DeESI_debias,0.5,20,10,0.0,0.8956773964473498,0.9033806440303599,0.6253904459365729
74,0,DeESI_std,0.5,20,10,0.0,,,
75,0,DeESI_rawselected_debias,0.5,20,10,0.0,0.8956773964473493,0.9033806440303602,0.6253904459365724
76,0,DeESI_raw,0.4,20,10,0.0,0.8736074211681027,0.789058456566639,0.589153961509814
77,0,DeESI_debias,0.4,20,10,0.0,0.8744311536511564,0.8903414663546032,0.6141575529042491
78,0,DeESI_std,0.4,20,10,0.0,,,
79,0,DeESI_rawselected_debias,0.4,20,10,0.0,0.8744311536511578,0.8903414663546048,0.6141575529042507
80,0,DeESI_raw,0.3,20,10,0.0,0.9231002061984352,0.8669253108494142,0.6300389170121679
81,0,DeESI_debias,0.3,20,10,0.0,0.8456023999878317,0.8686308778943966,0.5966819022675094
82,0,DeESI_std,0.3,20,10,0.0,,,
83,0,DeESI_rawselected_debias,0.3,20,10,0.0,0.8456023999878319,0.868630877894398,0.5966819022675101
84,0,DeESI_raw,0.2,20,10,0.0,0.954811135832881,0.9054551846630419,0.6806453522689653
85,0,DeESI_debias,0.2,20,10,72.79748818173196,-2316.6149777568808,-206.14112674375184,0.9717257134171332
86,0,DeESI_std,0.2,20,10,95.05425183739315,,,
87,0,DeESI_rawselected_debias,0.2,20,10,0.0,0.7880008375764881,0.7962183575919507,0.5520070965769248
88,0,DeESI_raw,0.1,20,10,0.0,0.9695804508037845,0.9346075950121155,0.7934574867529882
89,0,DeESI_debias,0.1,20,10,0.0,0.9695804508037846,0.9346075950121154,0.7934574867529882
90,0,DeESI_std,0.1,20,10,0.0,,,
91,0,DeESI_rawselected_debias,0.1,20,10,0.0,0.7171847158734093,0.6487954335902909,0.47505600857949115
92,0,DeESI_raw,0.05,20,10,0.0,0.9687651011387516,0.9267941779083555,0.8765163870021955
93,0,DeESI_debias,0.05,20,10,0.0,0.9687651011387516,0.9267941779083555,0.8765163870021955
94,0,DeESI_std,0.05,20,10,0.0,,,
95,0,DeESI_rawselected_debias,0.05,20,10,0.0,0.6768495668572967,0.615743477732835,0.46602125428267216
96,0,DeESI_raw,0.4,10,10,2.3256895408241323,0.733742890687253,0.2529248382058452,0.34673204018186277
97,0,DeESI_debias,0.4,10,10,2.3256895408241323,0.5890587583346167,0.5908975345997839,0.42917541089372
98,0,DeESI_std,0.4,10,10,2.3256895408241323,,,
99,0,DeESI_rawselected_debias,0.4,10,10,2.3256895408241323,0.5890587583346159,0.5908975345997898,0.4291754108937227
100,0,DeESI_raw,0.3,10,10,2.3256895408241323,0.8296091604504429,0.548493220899235,0.48874352155747103
101,0,DeESI_debias,0.3,10,10,2.3256895408241323,-22.36890282943559,0.5868322535627387,0.4463343449280681
102,0,DeESI_std,0.3,10,10,2.3256895408241323,,,
103,0,DeESI_rawselected_debias,0.3,10,10,2.3256895408241323,0.48637480678271416,0.5150451855578789,0.3675897999968992
104,0,DeESI_raw,0.2,10,10,0.0,0.870218059602931,0.599163016049916,0.6258145295815779
105,0,DeESI_debias,0.2,10,10,65.28886107914727,-212.5276438845432,-54.23375201390308,0.636883732768792
106,0,DeESI_std,0.2,10,10,82.9302942177153,,,
107,0,DeESI_rawselected_debias,0.2,10,10,0.0,0.38562533259046217,0.46610268928149634,0.3035606151402408
108,0,DeESI_raw,0.1,10,10,0.0,0.8750950094718497,0.8198153153105592,0.7063673994309188
109,0,DeESI_debias,0.1,10,10,0.0,0.8750950094718498,0.8198153153105592,0.7063673994309188
110,0,DeESI_std,0.1,10,10,0.0,,,
111,0,DeESI_rawselected_debias,0.1,10,10,0.0,-0.39683307255311284,0.05888696639581137,-0.18418087248216053
112,0,DeESI_raw,0.05,10,10,0.0,0.8494730371422667,0.7965071872516734,0.7710318736289888
113,0,DeESI_debias,0.05,10,10,0.0,0.8494730371422667,0.7965071872516734,0.7710318736289888
114,0,DeESI_std,0.05,10,10,0.0,,,
115,0,DeESI_rawselected_debias,0.05,10,10,0.0,-0.6528708533103953,-0.010148698247633092,-0.16429086364721535
116,0,DeESI_raw,0.3,0,10,9.0448004675848,0.4895097835107397,0.30767744014583653,0.24390678923627396
117,0,DeESI_debias,0.3,0,10,35.69769774753088,-483.472933134445,-1.1863210630217802,-0.2755502012636524
118,0,DeESI_std,0.3,0,10,9.0448004675848,,,
119,0,DeESI_rawselected_debias,0.3,0,10,9.0448004675848,-1.347948164366823,-0.5925315595730665,-0.4150851989360289
120,0,DeESI_raw,0.2,0,10,9.0448004675848,0.5924458218246273,0.3011267096386647,0.3600822462764791
121,0,DeESI_debias,0.2,0,10,72.45538505312071,-40307.89685901509,-484.80483050169795,0.19594442432358972
122,0,DeESI_std,0.2,0,10,96.4316112861492,,,
123,0,DeESI_rawselected_debias,0.2,0,10,9.0448004675848,-2.263543680986185,-0.7267938504598968,-0.8689824598227647
124,0,DeESI_raw,0.1,0,10,9.157386883215892,0.5933113109133207,0.3819483861713223,0.4108056024907133
125,0,DeESI_debias,0.1,0,10,9.157386883215892,0.5933113109133208,0.381948386171322,0.4108056024907131
126,0,DeESI_std,0.1,0,10,9.157386883215892,,,
127,0,DeESI_rawselected_debias,0.1,0,10,9.157386883215892,-2.687649937400967,-2.7293506944811785,-1.4815325391571532
128,0,DeESI_raw,0.05,0,10,40.35101897570235,0.5211459874075556,-0.06265986805583434,0.46884423419988785
129,0,DeESI_debias,0.05,0,10,40.35101897570235,0.5211459874075556,-0.06265986805583434,0.46884423419988785
130,0,DeESI_std,0.05,0,10,40.35101897570235,,,
131,0,DeESI_rawselected_debias,0.05,0,10,40.35101897570235,-12.71699210416657,-8.151720204782174,-4.240467027849478
132,1,DeESI_raw,0.5,20,20,0.0,0.687568604899962,0.030318358616717944,0.20172470147561095
133,1,DeESI_debias,0.5,20,20,0.0,0.7839706212474049,0.9067724708858765,0.40747490653883955
134,1,DeESI_std,0.5,20,20,0.0,,,
135,1,DeESI_rawselected_debias,0.5,20,20,0.0,0.7839706212474049,0.9067724708858765,0.40747490653883955
136,1,DeESI_raw,0.4,20,20,0.0,0.7889974161584667,0.34150019226423256,0.27124395218606556
137,1,DeESI_debias,0.4,20,20,0.0,0.7755360366617561,0.9037363609702102,0.3977973110904829
138,1,DeESI_std,0.4,20,20,0.0,,,
139,1,DeESI_rawselected_debias,0.4,20,20,0.0,0.7755360366617561,0.9037363609702102,0.3977973110904829
140,1,DeESI_raw,0.3,20,20,0.0,0.8573370421099905,0.554795326894153,0.3219499003580004
141,1,DeESI_debias,0.3,20,20,0.0,0.7549076850535458,0.896884222467685,0.3817762239950194
142,1,DeESI_std,0.3,20,20,0.0,,,
143,1,DeESI_rawselected_debias,0.3,20,20,0.0,0.7549076850535458,0.896884222467685,0.3817762239950194
144,1,DeESI_raw,0.2,20,20,0.0,0.9000561102347736,0.6707632659516387,0.40537855261090117
145,1,DeESI_debias,0.2,20,20,29.187962462600993,-21.46410402168287,-0.9807060938398895,0.46031507599509214
146,1,DeESI_std,0.2,20,20,37.43879050509274,,,
147,1,DeESI_rawselected_debias,0.2,20,20,0.0,0.720377705653017,0.8841277991638106,0.3590795201261552
148,1,DeESI_raw,0.1,20,20,0.0,0.9102646501850913,0.6594205121232514,0.6372671652868823
149,1,DeESI_debias,0.1,20,20,0.0,0.9102646501850912,0.6594205121232519,0.6372671652868824
150,1,DeESI_std,0.1,20,20,0.0,,,
151,1,DeESI_rawselected_debias,0.1,20,20,0.0,0.5079912143521796,0.8338484502424155,0.28989858132644575
152,1,DeESI_raw,0.05,20,20,22.13717456262153,0.8659525917480924,-0.0790104605662818,0.7649941086697538
153,1,DeESI_debias,0.05,20,20,22.13717456262153,0.8659525917480921,-0.07901046056628158,0.764994108669754
154,1,DeESI_std,0.05,20,20,22.13717456262153,,,
155,1,DeESI_rawselected_debias,0.05,20,20,22.13717456262153,-2.6190760416632317,0.6182083581307766,-0.15207869228987114
156,1,DeESI_raw,0.5,10,20,41.2041634802957,0.19246247083106827,0.019136017393262206,0.0701691698805651
157,1,DeESI_debias,0.5,10,20,44.687367856008315,-40.415715302907564,-36.14609519549155,0.1884927026565637
158,1,DeESI_std,0.5,10,20,41.2041634802957,,,
159,1,DeESI_rawselected_debias,0.5,10,20,44.687367856008315,-40.41571530290779,-36.146095195491824,0.18849270265656237
160,1,DeESI_raw,0.4,10,20,44.687367856008315,0.336945118825431,0.047385052374812164,0.16415762478977558
161,1,DeESI_debias,0.4,10,20,41.2041634802957,-60.09203482925412,-49.39146850011965,0.14342522003698643
162,1,DeESI_std,0.4,10,20,66.59175446787023,,,
163,1,DeESI_rawselected_debias,0.4,10,20,44.687367856008315,-39.08254650341182,-34.731335614929854,0.17734159889697343
164,1,DeESI_raw,0.3,10,20,3.2998756052573546,0.6072376879222461,0.20045451664258407,0.2783355144723373
165,1,DeESI_debias,0.3,10,20,28.203806058837856,-10.067312950820961,-0.76274750092422,0.3064265450099034
166,1,DeESI_std,0.3,10,20,3.2998756052573546,,,
167,1,DeESI_rawselected_debias,0.3,10,20,3.2998756052573546,-0.6418694125025202,0.30430726385027473,0.3148216825275175
168,1,DeESI_raw,0.2,10,20,3.2998756052573546,0.6240258127920937,0.2747462484471316,0.4427134668943403
169,1,DeESI_debias,0.2,10,20,49.347512126127825,-89158.27183535913,-1660.1944935106235,0.8139592915137497
170,1,DeESI_std,0.2,10,20,39.00073562854246,,,
171,1,DeESI_rawselected_debias,0.2,10,20,3.2998756052573546,-0.8686919357467207,0.22577891890177337,0.23653636708109338
172,1,DeESI_raw,0.1,10,20,25.896754007098384,0.5486974654649107,0.10033944033056852,0.6240713828384513
173,1,DeESI_debias,0.1,10,20,25.896754007098384,0.5486974654649108,0.10033944033056852,0.6240713828384513
174,1,DeESI_std,0.1,10,20,25.896754007098384,,,
175,1,DeESI_rawselected_debias,0.1,10,20,25.896754007098384,-6.052232443136583,-0.34587287899583363,-0.9153962856462372
176,1,DeESI_raw,0.05,10,20,56.48441175341132,0.0804082399235112,-0.09722164234234487,0.7053172904322909
177,1,DeESI_debias,0.05,10,20,56.48441175341132,0.08040823992351087,-0.0972216423423451,0.7053172904322909
178,1,DeESI_std,0.05,10,20,56.48441175341132,,,
179,1,DeESI_rawselected_debias,0.05,10,20,56.48441175341132,-15.383919102134325,-8.084277948948076,-2.657280259505614
180,1,DeESI_raw,0.3,0,20,41.8454145650803,0.024131584971659348,0.0130541916772966,0.06969670033836517
181,1,DeESI_debias,0.3,0,20,20.497864249337088,-5.326509684739636,-4.702975719872878,-0.27501231375713475
182,1,DeESI_std,0.3,0,20,20.497864249337088,,,
183,1,DeESI_rawselected_debias,0.3,0,20,41.8454145650803,-3.8824663447225873,-3.3538920446014746,-0.5523418966533173
184,1,DeESI_raw,0.2,0,20,20.001282412927743,0.33457318446277573,0.05318377817228681,0.2557348722470496
185,1,DeESI_debias,0.2,0,20,48.762941129146355,-695.9010699180959,-36.92733258290098,-0.3356343631461447
186,1,DeESI_std,0.2,0,20,20.001282412927743,,,
187,1,DeESI_rawselected_debias,0.2,0,20,20.001282412927743,-7.027171739569944,-3.0515758615691446,-0.4292391600823027
188,1,DeESI_raw,0.1,0,20,84.47168019602266,-0.08758677063383513,-0.06218552852669257,0.3182637738352233
189,1,DeESI_debias,0.1,0,20,84.47168019602266,-0.08758677063383469,-0.06218552852669257,0.3182637738352233
190,1,DeESI_std,0.1,0,20,84.47168019602266,,,
191,1,DeESI_rawselected_debias,0.1,0,20,84.47168019602266,-52.7064482506069,-18.732349702967852,-5.459758072518302
192,1,DeESI_raw,0.05,0,20,77.68347214233067,-0.22795307138549625,-0.1318636692378119,0.3580927593545047
193,1,DeESI_debias,0.05,0,20,77.68347214233067,-0.22795307138549648,-0.1318636692378119,0.3580927593545047
194,1,DeESI_std,0.05,0,20,77.68347214233067,,,
195,1,DeESI_rawselected_debias,0.05,0,20,77.68347214233067,-72.28327576607312,-42.68128387119605,-9.601435234585383
196,1,DeESI_raw,0.3,20,10,0.0,0.6652461611064582,0.2553320896397523,0.25388729561060863
197,1,DeESI_debias,0.3,20,10,0.0,-39.595130321363406,0.5011508003224039,0.35181292808075115
198,1,DeESI_std,0.3,20,10,0.0,,,
199,1,DeESI_rawselected_debias,0.3,20,10,0.0,0.26147076958967974,0.5111382256466671,0.15593571740937684
200,1,DeESI_raw,0.2,20,10,0.0,0.7669729564254127,0.5201104802283163,0.369923418778348
201,1,DeESI_debias,0.2,20,10,80.44485447951011,-15877.298705859994,-310.26777444606296,0.9260026335779237
202,1,DeESI_std,0.2,20,10,26.949746433803814,,,
203,1,DeESI_rawselected_debias,0.2,20,10,0.0,0.1719505307826964,0.5325362477430793,0.08561210757674964
204,1,DeESI_raw,0.1,20,10,0.0,0.8006864882714514,0.40325055962029066,0.6383901180189097
205,1,DeESI_debias,0.1,20,10,0.0,0.8006864882714515,0.40325055962029066,0.6383901180189097
206,1,DeESI_std,0.1,20,10,0.0,,,
207,1,DeESI_rawselected_debias,0.1,20,10,0.0,-0.18782367209768736,0.31599267003508547,-0.1206986121335476
208,1,DeESI_raw,0.05,20,10,42.578722538387105,0.7353063213800954,-0.07050094547367225,0.7939063073270137
209,1,DeESI_debias,0.05,20,10,42.578722538387105,0.7353063213800957,-0.0705009454736727,0.7939063073270138
210,1,DeESI_std,0.05,20,10,42.578722538387105,,,
211,1,DeESI_rawselected_debias,0.05,20,10,42.578722538387105,-4.9143711710375575,-0.5268301775464579,-1.2009230259250998
212,1,DeESI_raw,0.3,10,10,7.643408026101272,0.5228328179153305,0.11359938837967232,0.18775892233777436
213,1,DeESI_debias,0.3,10,10,35.33226766649851,-245.84144157143908,-5.611749628982175,0.06514638438559428
214,1,DeESI_std,0.3,10,10,7.643408026101272,,,
215,1,DeESI_rawselected_debias,0.3,10,10,7.643408026101272,-1.844795544143747,0.052023502272979694,0.12478946197060281
216,1,DeESI_raw,0.2,10,10,22.257842606009984,0.5612832451384839,0.12659565780093496,0.3376090960967537
217,1,DeESI_debias,0.2,10,10,44.48298317739278,-3930.001800122567,-224.28667859713178,0.6770557308648708
218,1,DeESI_std,0.2,10,10,44.31137351142756,,,
219,1,DeESI_rawselected_debias,0.2,10,10,22.257842606009984,-6.602338762178316,0.03180246163886391,-0.9465517489108242
220,1,DeESI_raw,0.1,10,10,24.806716286707637,0.4546111074249244,0.15775468124972558,0.567585946454259
221,1,DeESI_debias,0.1,10,10,24.806716286707637,0.4546111074249243,0.15775468124972558,0.567585946454259
222,1,DeESI_std,0.1,10,10,24.806716286707637,,,
223,1,DeESI_rawselected_debias,0.1,10,10,24.806716286707637,-9.097020174947284,0.2968722824272929,-1.3152662489280544
224,1,DeESI_raw,0.05,10,10,55.71957470154021,0.14828211953608428,0.003013929226699963,0.6816538996051043
225,1,DeESI_debias,0.05,10,10,55.71957470154021,0.14828211953608428,0.003013929226699963,0.6816538996051044
226,1,DeESI_std,0.05,10,10,55.71957470154021,,,
227,1,DeESI_rawselected_debias,0.05,10,10,55.71957470154021,-8.099114658025135,-8.204494308788725,-2.8529506986303694
228,1,DeESI_raw,0.3,0,10,58.19840970004539,0.12501797815452909,0.026983915312773,0.046986654678612294
