,sim_num,method,lambda,snr_n,snr_s,Distance,R2_X1,R2_X2,R2_Y
0,0,DeESI_raw,1,20,20,0.0,0.8358845441153815,0.8319506238202851,0.5183616585774603
1,0,DeESI_debias,1,20,20,0.0,0.9676160547328378,0.8994853229976174,0.6054826822815768
2,0,DeESI_std,1,20,20,0.0,,,
3,0,DeESI_rawselected_debias,1,20,20,0.0,0.9676160547328378,0.8994853229976174,0.6054826822815768
4,0,DeESI_raw,0.75,20,20,0.0,0.9256785085023945,0.9020777694372447,0.5763483194543264
5,0,DeESI_debias,0.75,20,20,0.0,0.9663974552152806,0.8930718140673467,0.6040449908387111
6,0,DeESI_std,0.75,20,20,0.0,,,
7,0,DeESI_rawselected_debias,0.75,20,20,0.0,0.9663974552152806,0.8930718140673467,0.6040449908387111
8,0,DeESI_raw,0.5,20,20,0.0,0.9600079221541852,0.9180312969702262,0.6553537509821061
9,0,DeESI_debias,0.5,20,20,51.787495713149816,-1476.7420411924172,0.8966463043307507,0.40425912518556706
10,0,DeESI_std,0.5,20,20,50.252437031723375,,,
11,0,DeESI_rawselected_debias,0.5,20,20,0.0,0.9628141567247805,0.8745966087306929,0.5990452137822607
12,0,DeESI_raw,0.4,20,20,0.0,0.9668056069419064,0.9217111064785104,0.6889539895254801
13,0,DeESI_debias,0.4,20,20,51.81299038703393,-852.3198363576162,0.9088612672238752,0.4486584421116262
14,0,DeESI_std,0.4,20,20,51.81299038703393,,,
15,0,DeESI_rawselected_debias,0.4,20,20,0.0,0.9618381542225768,0.8652448596744544,0.5955408137849199
16,0,DeESI_raw,0.3,20,20,0.0,0.9707176454236992,0.9277314817001134,0.7136579995830825
17,0,DeESI_debias,0.3,20,20,51.81299038703393,-6147.729216858345,0.8479560955848701,0.7151923645027486
18,0,DeESI_std,0.3,20,20,51.81299038703393,,,
19,0,DeESI_rawselected_debias,0.3,20,20,0.0,0.9608003091821643,0.8404538857791921,0.5896115061185707
20,0,DeESI_raw,0.2,20,20,0.0,0.9743509051441445,0.9385658911976494,0.7346660699407649
21,0,DeESI_debias,0.2,20,20,65.65606619147115,-365664.2243213225,-21484.686295642856,0.9307442919897955
22,0,DeESI_std,0.2,20,20,85.30749391930286,,,
23,0,DeESI_rawselected_debias,0.2,20,20,0.0,0.7531544842491572,0.9637896048562637,0.5707497720569246
24,0,DeESI_raw,0.1,20,20,0.0,0.9755346761623522,0.9463604431435914,0.7503786113425316
25,0,DeESI_debias,0.1,20,20,0.0,0.9755346761623522,0.9463604431435915,0.7503786113425316
26,0,DeESI_std,0.1,20,20,0.0,,,
27,0,DeESI_rawselected_debias,0.1,20,20,0.0,0.6075169067901217,0.965425028817167,0.5412859822933586
28,0,DeESI_raw,0.05,20,20,0.0,0.9733567267144467,0.9363947236424923,0.8264580529513577
29,0,DeESI_debias,0.05,20,20,0.0,0.9733567267144468,0.9363947236424924,0.8264580529513578
30,0,DeESI_std,0.05,20,20,0.0,,,
31,0,DeESI_rawselected_debias,0.05,20,20,0.0,0.4250110786956832,0.9204099960245045,0.4999561240513076
32,0,DeESI_raw,0.5,10,20,20.644838503042866,0.5614067838695137,0.15634090838497827,0.277491733962844
33,0,DeESI_debias,0.5,10,20,39.86263217941128,-4.226071419462464,-2.446234334568721,0.2644772555604652
34,0,DeESI_std,0.5,10,20,39.86263217941128,,,
35,0,DeESI_rawselected_debias,0.5,10,20,20.644838503042866,-5.761087872454235,0.8381152815177269,-0.3912089476877376
36,0,DeESI_raw,0.4,10,20,0.0,0.7433060051575139,0.4587070535095026,0.43301247111476304
37,0,DeESI_debias,0.4,10,20,68.2001302257017,-22585.248770076167,-16956.06209433624,0.42183871405477835
38,0,DeESI_std,0.4,10,20,68.2001302257017,,,
39,0,DeESI_rawselected_debias,0.4,10,20,0.0,0.3490074333550699,0.8834656105952066,0.49758922180347565
40,0,DeESI_raw,0.3,10,20,0.0,0.8167002037729139,0.5950971288064764,0.5129773188367412
41,0,DeESI_debias,0.3,10,20,68.07172671645861,-798.340062767649,-469.2047225407418,0.2606326540300149
42,0,DeESI_std,0.3,10,20,68.07172671645861,,,
43,0,DeESI_rawselected_debias,0.3,10,20,0.0,0.29879005732568875,0.877602331851514,0.4823344345926289
44,0,DeESI_raw,0.2,10,20,0.0,0.8557106542851777,0.6550090913044985,0.609067178077253
45,0,DeESI_debias,0.2,10,20,55.67914844945135,-319563.4316945699,-15.813946045780352,0.8292700594262278
46,0,DeESI_std,0.2,10,20,20.644838503042866,,,
47,0,DeESI_rawselected_debias,0.2,10,20,0.0,0.04513761090827084,0.888412345344508,0.4250406145324822
48,0,DeESI_raw,0.1,10,20,0.0,0.8662276759729512,0.6856005070326594,0.6622823535561544
49,0,DeESI_debias,0.1,10,20,0.0,0.866227675972951,0.6856005070326596,0.6622823535561544
50,0,DeESI_std,0.1,10,20,0.0,,,
51,0,DeESI_rawselected_debias,0.1,10,20,0.0,-0.3909151508616344,0.8594990576684483,0.32908210259589776
52,0,DeESI_raw,0.05,10,20,0.0,0.6422834641937243,0.6627422532988202,0.7151158557289298
53,0,DeESI_debias,0.05,10,20,0.0,0.6422834641937246,0.6627422532988199,0.7151158557289298
54,0,DeESI_std,0.05,10,20,0.0,,,
55,0,DeESI_rawselected_debias,0.05,10,20,0.0,-1.839358400311316,0.7297397561536364,-0.006347012775775207
56,0,DeESI_raw,0.4,0,20,66.28797453124508,0.22973943284521747,-0.02988223774216059,0.08418432335500692
57,0,DeESI_debias,0.4,0,20,66.28797453124508,-205.9531174917047,-3.729131487771527,-0.3671064029639386
58,0,DeESI_std,0.4,0,20,66.28797453124508,,,
59,0,DeESI_rawselected_debias,0.4,0,20,66.28797453124508,-2.6262178248295798,-3.3362520374542397,-0.5671582305386587
60,0,DeESI_raw,0.3,0,20,19.65163576632768,0.4128633675161022,0.23255823979001689,0.22281651773436328
61,0,DeESI_debias,0.3,0,20,65.90030310731906,-252.5014314545686,-1.5357132884188465,-0.06953179188315062
62,0,DeESI_std,0.3,0,20,34.167258377335315,,,
63,0,DeESI_rawselected_debias,0.3,0,20,19.65163576632768,-2.2064566838709387,-2.2486826098250217,-0.2985106404085933
64,0,DeESI_raw,0.2,0,20,30.216684889009045,0.3726318523620553,0.13405543180316903,0.3371272274440662
65,0,DeESI_debias,0.2,0,20,64.85301709325049,-213123.43491770755,-13.607298105264837,0.37438964263491725
66,0,DeESI_std,0.2,0,20,46.17541317014041,,,
67,0,DeESI_rawselected_debias,0.2,0,20,30.216684889009045,-9.932867399795125,-2.845688921488091,-1.7710639555451366
68,0,DeESI_raw,0.1,0,20,30.216684889009045,0.025933460274725317,0.27756167018195266,0.3896765178745599
69,0,DeESI_debias,0.1,0,20,30.216684889009045,0.025933460274725317,0.2775616701819529,0.3896765178745599
70,0,DeESI_std,0.1,0,20,30.216684889009045,,,
71,0,DeESI_rawselected_debias,0.1,0,20,30.216684889009045,-12.985473502549665,-3.7685731396646824,-2.263751897282578
72,0,DeESI_raw,0.05,0,20,30.216684889009045,-0.06917247493803536,0.1841999549715857,0.43720963940958735
73,0,DeESI_debias,0.05,0,20,30.216684889009045,-0.06917247493803536,0.1841999549715857,0.43720963940958735
74,0,DeESI_std,0.05,0,20,30.216684889009045,,,
75,0,DeESI_rawselected_debias,0.05,0,20,30.216684889009045,-25.795448555444416,-5.1581120291258316,-4.175753561957351
76,0,DeESI_raw,0.75,20,10,0.0,0.6606738973996409,0.6309785098458669,0.36619684589659474
77,0,DeESI_debias,0.75,20,10,0.0,0.8699448559984845,0.7625985880092722,0.5570820649791484
78,0,DeESI_std,0.75,20,10,0.0,,,
79,0,DeESI_rawselected_debias,0.75,20,10,0.0,0.8699448559984845,0.7625985880092722,0.5570820649791484
80,0,DeESI_raw,0.5,20,10,0.0,0.8243751878037273,0.8110412372749661,0.49349157076717
81,0,DeESI_debias,0.5,20,10,25.65766179759667,-1.3266576431198907,0.8049045420513143,0.504676947722493
82,0,DeESI_std,0.5,20,10,25.65766179759667,,,
83,0,DeESI_rawselected_debias,0.5,20,10,0.0,0.8637457504906106,0.7156146002228604,0.5503510906024813
84,0,DeESI_raw,0.4,20,10,0.0,0.8574756477054627,0.8403146459800952,0.597566964728529
85,0,DeESI_debias,0.4,20,10,58.25346072271732,-237.68709418502178,-146.79961590981333,0.5285202778922393
86,0,DeESI_std,0.4,20,10,59.34492188276502,,,
87,0,DeESI_rawselected_debias,0.4,20,10,0.0,0.8592009409723477,0.6791615321346626,0.5434562262966725
88,0,DeESI_raw,0.3,20,10,0.0,0.8866407573179428,0.8664144855049496,0.6793203601042311
89,0,DeESI_debias,0.3,20,10,63.18160922188315,-267181.8874357593,-111511.0901593092,0.9409551786526114
90,0,DeESI_std,0.3,20,10,87.75471373798169,,,
91,0,DeESI_rawselected_debias,0.3,20,10,0.0,0.6152368973003592,0.8561778306998367,0.5312544310753493
92,0,DeESI_raw,0.2,20,10,0.0,0.9069531451935894,0.8776932457319304,0.7311953302761028
93,0,DeESI_debias,0.2,20,10,0.0,0.9069531451935895,0.8776932457319303,0.7311953302761028
94,0,DeESI_std,0.2,20,10,0.0,,,
95,0,DeESI_rawselected_debias,0.2,20,10,0.0,0.5311359998352141,0.8744737503660681,0.5171711204745579
96,0,DeESI_raw,0.1,20,10,0.0,0.9188239563620542,0.8932473067009273,0.7987951742669605
97,0,DeESI_debias,0.1,20,10,0.0,0.9188239563620543,0.8932473067009272,0.7987951742669605
98,0,DeESI_std,0.1,20,10,0.0,,,
